DATAFLOW,LAST UPDATE,freq,deg_urb,levels,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,AT,2019,3.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,AT,2019,17.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,AT,2019,40.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,AT,2019,1.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,AT,2019,37.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,BE,2019,6.1,b
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,BE,2019,13.6,b
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,BE,2019,46.7,b
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,BE,2019,1.2,b
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,BE,2019,32.4,b
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,BG,2019,3.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,BG,2019,14.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,BG,2019,59.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,BG,2019,0.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,BG,2019,20.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,CY,2019,2.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,CY,2019,11.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,CY,2019,31.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,CY,2019,0.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,CY,2019,54.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,CZ,2019,5.0,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,CZ,2019,18.6,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,CZ,2019,48.9,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,CZ,2019,1.0,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,CZ,2019,26.4,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,DE,2019,5.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,DE,2019,21.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,DE,2019,50.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,DE,2019,1.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,DE,2019,21.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,DK,2019,6.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,DK,2019,19.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,DK,2019,49.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,DK,2019,1.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,DK,2019,23.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,EE,2019,6.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,EE,2019,24.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,EE,2019,52.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,EE,2019,1.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,EE,2019,15.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,EL,2019,2.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,EL,2019,7.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,EL,2019,31.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,EL,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,EL,2019,58.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,ES,2019,3.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,ES,2019,12.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,ES,2019,61.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,ES,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,ES,2019,22.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,EU27_2020,2019,4.5,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,EU27_2020,2019,17.7,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,EU27_2020,2019,52.4,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,EU27_2020,2019,1.0,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,EU27_2020,2019,24.4,e
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,FI,2019,3.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,FI,2019,20.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,FI,2019,54.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,FI,2019,0.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,FI,2019,21.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,FR,2019,5.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,FR,2019,20.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,FR,2019,47.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,FR,2019,0.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,FR,2019,25.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,HR,2019,7.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,HR,2019,17.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,HR,2019,37.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,HR,2019,1.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,HR,2019,35.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,HU,2019,5.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,HU,2019,24.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,HU,2019,49.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,HU,2019,1.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,HU,2019,19.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,IE,2019,2.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,IE,2019,10.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,IE,2019,38.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,IE,2019,0.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,IE,2019,48.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,IT,2019,2.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,IT,2019,12.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,IT,2019,64.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,IT,2019,0.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,IT,2019,20.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,LT,2019,6.0,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,LT,2019,34.2,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,LT,2019,48.7,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,LT,2019,1.3,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,LT,2019,9.8,u
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,LU,2019,5.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,LU,2019,16.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,LU,2019,49.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,LU,2019,1.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,LU,2019,26.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,LV,2019,7.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,LV,2019,34.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,LV,2019,51.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,LV,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,LV,2019,6.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,MT,2019,1.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,MT,2019,14.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,MT,2019,59.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,MT,2019,0.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,MT,2019,24.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,NL,2019,4.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,NL,2019,16.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,NL,2019,52.4,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,NL,2019,0.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,NL,2019,26.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,PL,2019,6.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,PL,2019,22.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,PL,2019,51.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,PL,2019,1.2,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,PL,2019,18.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,PT,2019,5.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,PT,2019,31.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,PT,2019,49.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,PT,2019,1.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,PT,2019,11.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,RO,2019,2.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,RO,2019,13.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,RO,2019,49.5,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,RO,2019,0.8,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,RO,2019,34.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,SE,2019,3.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,SE,2019,15.7,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,SE,2019,50.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,SE,2019,1.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,SE,2019,29.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,SI,2019,5.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,SI,2019,18.6,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,SI,2019,48.9,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,SI,2019,1.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,SI,2019,26.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,BAD,Y18-64,T,SK,2019,6.0,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,FAIR,Y18-64,T,SK,2019,18.1,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,GOOD,Y18-64,T,SK,2019,50.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VBAD,Y18-64,T,SK,2019,1.3,
ESTAT:ILC_LVHL01(1.0),27/10/21 23:00:00,A,TOTAL,VGOOD,Y18-64,T,SK,2019,24.4,
